"Action","Ação"
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao escrever no arquivo de backup ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Arquivo de backup ""%s"" não pode ser lido ou escrito."
"Backup file ""%s"" does not exist.","Arquivo de backup ""%s"" não existe."
"Backup file does not exist.","Arquivo de backup não existe."
"Backup file handler was unspecified.","Manipulador do arquivo de backup não foi especificado."
"Backup file path was not specified.","Caminho do arquivo de backup não foi especificado."
"Backups","Backups"
"Cannot read backup file.","Não foi possível ler arquivo de backup."
"Create Backup","Criar backup"
"DB","BD"
"Database was successfuly backed up.","Backup do bancos de dados concluído com sucesso."
"Download","Download"
"Size, Bytes","Tamanho, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi comprimido com Zlib, mas esta extensão não está instalada no servidor."
"Time","Tempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar backup. Por favor, tente novamente mais tarde."
"Wrong order of creation for new backup.","Pedido incorreto de criação de novo backup."
