"%s is not a correct comparsion method.","%s não é um método de comparação correto."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> que estas configurações são aplicadas somente aos itens da linha e não ao carrinho inteiro."
"Add Minimum Qty","Adicionar quantidade mínima"
"Allow Qty Below 0","Permitir quantidade abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir quantidade abaixo de 0 e avisar cliente"
"Automatically Return Credit Memo Item to Stock","Retornar item do reembolso ao estoque automaticamente"
"Backorders","Pedido pendente"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentagem"
"Cannot specify product identifier for the order item.","Não foi possível especificar o identificador do produto para o item do pedido."
"Catalog Inventory","Inventário do catálogo"
"Decrease Stock When Order is Placed","Diminuir estoque quando pedido é confirmado"
"Enable Qty Increments","Habilitar quantidade de incremento"
"In Stock","Em estoque"
"Index Product Stock Status","Status do índice de estoque de produtos"
"Inventory","Inventário"
"Inventory API","API do inventário"
"Inventory Section","Seção inventário"
"Manage Stock","Gerenciar estoque"
"Maximum Qty Allowed in Shopping Cart","Quantidade máxima permitida no carrinho de compras"
"Minimum Qty","Quantidade mínima"
"Minimum Qty Allowed in Shopping Cart","Quantidade mínima permitida no carrinho de compras"
"No Backorders","Nenhum pedido pendente"
"Not all products are available in the requested quantity","Nem todos os produtos estão disponíveis na quantidade solicitada"
"Notify for Quantity Below","Notifique para quantidade baixa"
"Only X left Threshold","Somente X left threshold"
"Out of Stock","Esgotado"
"Product Stock Options","Opções do estoque do produto"
"Qty Increments","Quantidade de incremento"
"Qty for Items' Status to Become Out of Stock","Quantidade para status dos itens tornar-se esgotado"
"Retrieve stock data","Obter dados do estoque"
"Retrieve stock data by product ids","Obter dados do estoque através dos IDs dos produtos"
"Rule price","Regra de preço"
"Set Items' Status to be In Stock When Order is Cancelled","Definir status dos itens para em estoque quando pedido for cancelado"
"Some of the products are currently out of stock","Alguns dos produtos estão esgotados"
"Some of the products cannot be ordered in requested quantity.","Alguns dos produtos não podem ser pedidos na quantidade solicitada."
"Some of the products cannot be ordered in the requested quantity.","Alguns dos produtos não podem ser pedidos na quantidade solicitada."
"Stock Options","Opções de estoque"
"Stock Status","Status do estoque"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida por compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida por compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade solicitada para ""%s"" não está disponível."
"The requested quantity is not available.","A quantidade solicitada não está disponível."
"The stock item for Product in option is not valid.","O item do estoque para o produto em questão não é válido."
"The stock item for Product is not valid.","O item do estoque para o produto não é válido."
"This product is available for purchase in increments of %s only.","Esse produto está disponível para compra somente no aumento de %s."
"This product is currently out of stock.","Esse produto está esgotado no momento."
"This product is not available in the requested quantity. %s of the items will be backordered.","Esse produto não está disponível na quantidade solicitada. %s itens serão colocados em espera."
"To Fixed Value","Para valor fixo"
"To Percentage","Para porcentagem"
"Undefined product type.","Tipo de produto indefinido."
"Update","Atualizar"
"Update product stock data","Atualizar dados do estoque do produto"
"Update the Product","Atualizar o produto"
