"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(ns)</strong> encontrado(s) usando os seguintes critérios de busca"
"Advanced Search","Busca avançada"
"Advanced Search Form","Formulário de busca avançada"
"Advanced Search Result","Resultado da busca avançada"
"All","Tudo"
"Applies for ""Like"" search type only.","Aplicar somente para o tipo de busca ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Aplicar navegação por camadas se resultados da busca forem menores que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Configuração de atributo muda relacionado ao índice da busca. Por favor, execute o processo de <a href=""%s"">refazer índice da busca</a>."
"Autogenerated Site Map","Mapa do site gerado automaticamente"
"Catalog Advanced Search","Busca avançada no catálogo"
"Catalog Search","Busca no catálogo"
"Catalog Search Index","Índice da busca no catálogo"
"Don't see what you're looking for?","Não achou o que você estava procurando?"
"Enter ""0"" to enable layered navigation for any number of results.","Insira ""0"" para habilitar navegação por camadas para qualquer número de resultados."
"Go","Ir"
"Go to Home Page","Ir para página principal"
"Grid","Grade"
"Home","Principal"
"List","Lista"
"Maximum Query Length","Comprimento máximo da query"
"Maximum Query Words Count","Contagem máxima de palavras da query"
"Maximum Search query  length is %s. Your query was cut.","Comprimento máximo da query de busca é %s. Sua query foi cortada."
"Minimal Query Length","Comprimento mínimo da query"
"Minimum Search query length is %s","Comprimento mínimo da query de busca é %s"
"Modify your search","Modifique sua busca"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado usando os seguintes critérios de busca."
"Please specify at least one search term.","Por favor, especifique pelo menos um termo de busca."
"Popular Search Terms","Termos populares de busca"
"Quick Search Form","Formulário de busca rápida"
"Rebuild Catalog product fulltext search index","Refazer índice de busca fulltext do catálogo de produto"
"Relevance","Relevância"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Configurações de busca"
"Search Terms","Termos de busca"
"Search Type","Tipo de busca"
"Search entire store here...","Procurar na loja..."
"Search results for '%s'","Resultados da busca por '%s'"
"Search results for: '%s'","Resultados da busca por: '%s'"
"Search:","Buscar:"
"Subscribe to Feed","Assinar Feed"
"There are no search terms available.","Não existe termos de busca disponíveis."
"Yes","Sim"
"Your search returns no results.","Sua busca não retornou resultados."
"up to %s","até %s"
