"3D Secure CAVV","3D secure CAVV"
"3D Secure Card Validation","Validação de cartão 3D secure"
"3D Secure Cardholder Validation","Validação de membro 3D secure"
"3D Secure Electronic Commerce Indicator","Indicador de comércio electrónico 3D secure"
"3D Secure Verification Result","Resultado da verificação 3D secure"
"3D Secure XID","3D secure XID"
"Card Issuer Liability","Responsabilidade do emissor do cartão"
"Card Verification","Verificação do cartão"
"Enrolled","Registrado"
"Enrolled but Authentication Unavailable","Registrado mas autenticação indisponível"
"Failed","Falhou"
"MasterCard SecureCode","Código de segurança MasterCard"
"Merchant Liability","Responsabilidade do comerciante"
"Not Enrolled","Não registrado"
"Order cannot be placed.","Pedido não pode ser confirmado."
"Payment information error. Please start over.","Erro nas informações de pagamento. Por favor, comece de novo."
"Please continue with placing order.","Por favor, continue com a confirmação do pedido."
"Please verify the card with the issuer bank before placing the order.","Por favor, verifique o cartão junto ao banco antes de confirmar o pedido."
"Please verify the card with the issuer bank:","Por favor, verifique o cartão junto ao banco:"
"Start/Reset Validation...","Iniciar/Refazer validação..."
"Successful","Bem sucedido"
"Successful attempt","Tentativa em sucedida"
"The card has failed verification with the issuer bank.","O cartão falhou a verificação junto ao banco."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Existe erro na informação submetida para o pagamento ou o tempo limite expirou. Por favor, tente novamente."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Existe erro na informação submetida para o pagamento ou o tempo limite expirou. Por favor, tente novamente."
"This card has failed validation and cannot be used.","Este cartão falhou na validação e não pode ser utilizado."
"This card has failed validation, but it is possible to place the order.","Este cartão falhou na validação, mas é possível efetuar pedido."
"To ensure the security of your transactions","Para garantir a segurança de suas transações"
"Unable to complete","Não foi possível completar"
"Validation failed.","Validação falhou."
"Verification Failed","Verificação falhou"
"Verification Successful","Verificação bem sucedida"
"Verification cannot be processed","Verificação não pode ser processada"
"Verified by Visa","Verificado pela Visa"
