"Add","Adicionar"
"Allow Gift Messages for Order Items","Permitir mensagens de presentes para itens de pedidos"
"Allow Gift Messages on Order Level","Permitir mensagens de presentes no nível de pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao salvar a mensagem de presente."
"Are you sure?","Você tem certeza?"
"Check this checkbox if you want to add gift messages to your items.","Selecione esta caixa de seleção se você deseja adicionar mensagens de presente aos seus itens."
"Check this checkbox if you want to add gift messages.","Selecione esta caixa de seleção se você deseja adicionar mensagens de presente."
"Do you have any gift items in your order?","Você tem algum item de presente no seu pedido?"
"Edit","Editar"
"Enter a gift message for each item in your order.","Insira uma mensagem de presente para cada item do seu pedido."
"Enter a gift message for entire order.","Insira uma mensagem de presente para toda a compra."
"Enter a gift message for this address.","Insira uma mensagem de presente para este endereço."
"From","De"
"Gift Messages","Mensagens do presente"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"Save Gift Message","Salvar mensagem de presente"
"The gift message has been removed","A mensagem de presente foi excluída"
"The gift message has been saved","A mensagem de presente foi salva"
"The gift message has been saved.","A mensagem de presente foi salva."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Utilizar config"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar esta caixa em branco se você não deseja adicionar uma mensagem de presente para o item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar esta caixa em branco se você não deseja adicionar uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar esta caixa em branco se você não deseja adicionar uma mensagem de presente para toda a compra."
