"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"Apply","Aplicar"
"Apply To","Aplicar para"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem satisfeitas (deixar em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente aos itens do carrinho que atendam as seguintes condições (deixar em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho que atendam as seguintes condições"
"Apply to Shipping Amount","Aplicar para valor de envio"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Compre X leve Y grátis (desconto de Y)"
"By Fixed Amount","Por valor fixo"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"By Percentage of the Original Price","Por porcentagem do preço original"
"Can\'t acquire coupon.","Não pode adquirir cupom."
"Cart Attribute","Atributo do carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Condições de combinação"
"Coupon","Cupom"
"Coupon Code","Código de cupom"
"Customer Groups","Grupos de clientes"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Default Label","Rótulo padrão"
"Default Rule Label for All Store Views","Regra padrão para todas visões da loja"
"Delete Rule","Excluir regra"
"Description","Descricão"
"Description: %s","Descrição: %s"
"Discount Amount","Total do desconto"
"Discount Qty Step (Buy X)","Degrau de quantidade para desconto (compre X)"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Expire at: %s","Expira em: %s"
"Fixed amount discount","Valor fixo de desconto"
"Fixed amount discount for whole cart","Valor de desconto fixo para todo o carrinho"
"For matching items only","Somente para itens selecionados"
"For shipment with matching items","Para envio com itens selecionados"
"Free Shipping","Envio gratuito"
"From Date","A partir da data"
"General Information","Informações gerais"
"ID","ID"
"Inactive","Inativo"
"Labels","Rótulos"
"Maximum Qty Discount is Applied To","Desconto máximo de quantidade é aplicado para"
"NOT LOGGED IN","NÃO CONECTADO"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"No Coupon","Nenhum cupom"
"Number of Uses","Número de usos"
"Payment Method","Método de pagamento"
"Percent of product price discount","Porcentagem do desconto no preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público no RSS Feed"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total no carrinho"
"Rule Information","Informações da regra"
"Rule Name","Nome da regra"
"Sales Discount Amount","Valor de desconto das vendas"
"Sales Subtotal Amount","Valor subtotal das vendas"
"Sales Total Amount","Valor total das vendas"
"Save Rule","Salvar regra"
"Save and Continue Edit","Salvar e continuar editando"
"Shipping Country","País de envio"
"Shipping Method","Método de envio"
"Shipping Postcode","CEP de envio"
"Shipping Region","Região de envio"
"Shipping State/Province","Estado de envio"
"Shopping Cart Price Rule","Regra de preço do carrinho de compras"
"Shopping Cart Price Rules","Regras de preço do carrinho de compras"
"Shopping Cart Price Rules based on deleted attribute ""%s"" has been disabled.","Regras de preço do carrinho de compras baseado em excluir atributo ""%s"" foi desabilitado."
"Special Price","Preço especial"
"Specific Coupon","Cupom específico"
"Start at: %s","Início em: %s"
"Status","Status"
"Stop Further Rules Processing","Parar processamento de demais regras"
"Store View Specific Labels","Rótulos específicos de visão da loja"
"Subtotal","Subtotal"
"Subtotal Amount","Valor do subtotal"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Para data"
"To Fixed Amount","Para quantidade fixa"
"To Fixed Value","Para valor fixo"
"To Percentage","Para porcentagem"
"To Percentage of the Original Price","Para porcentagem do preço original"
"Total","Total"
"Total Amount","Valor total"
"Total Items Quantity","Quantidade total de itens"
"Total Weight","Peso total"
"Unable to find a rule to delete.","Não foi possível encontrar uma regra para excluir."
"Update Prices Using the Following Information","Atualizar preços usando as seguintes informações"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Update the Product","Atualizar o produto"
"Uses per Coupon","Usos por cupom"
"Uses per Customer","Usos por cliente"
"Wrong rule specified.","Regra especificada incorreta."
"Yes","Sim"
